Model Name,Image,Prediction,Confidence,Latency
yolo_notonnx,pizza.jpg,pizza,0.9178,0.2365
yolo_notonnx,zidane.jpg,person,0.8248,0.2698
yolo_notonnx,bus.jpg,bus,0.9070,0.2382
resnet50_onnx,street.jpg,minibus,0.9548,0.0680
resnet50_onnx,Epic.jpg,toyshop,0.3405,0.0695
resnet50_onnx,cat.jpg,tiger cat,0.6837,0.0712
resnet50_onnx,pizza.jpg,pizza,0.9972,0.0644
resnet50_onnx,zidane.jpg,suit,0.8285,0.0644
resnet50_onnx,bus.jpg,minibus,0.9594,0.0603
resnet50_notonnx,street.jpg,minibus,0.9548,0.1149
resnet50_notonnx,Epic.jpg,toyshop,0.3405,0.1153
resnet50_notonnx,cat.jpg,tiger cat,0.6837,0.1068
resnet50_notonnx,pizza.jpg,pizza,0.9972,0.1120
resnet50_notonnx,zidane.jpg,suit,0.8285,0.1165
resnet50_notonnx,bus.jpg,minibus,0.9594,0.1340
yolo_onnx,street.jpg,bus,0.9115,0.0780
yolo_onnx,Epic.jpg,person,0.6270,0.0710
yolo_onnx,cat.jpg,cat,0.8799,0.0776
yolo_onnx,pizza.jpg,pizza,0.9178,0.0786
yolo_onnx,zidane.jpg,person,0.8248,0.0735
yolo_onnx,bus.jpg,bus,0.9070,0.0688
yolo_notonnx,street.jpg,bus,0.9115,0.2376
yolo_notonnx,Epic.jpg,person,0.6270,0.2549
yolo_notonnx,cat.jpg,cat,0.8799,0.2476
resnet50_notonnx,street.jpg,minibus,0.9548,0.1119
resnet50_notonnx,Epic.jpg,toyshop,0.3405,0.1019
resnet50_notonnx,cat.jpg,tiger cat,0.6837,0.1283
resnet50_notonnx,pizza.jpg,pizza,0.9972,0.1407
resnet50_notonnx,zidane.jpg,suit,0.8285,0.1140
resnet50_notonnx,bus.jpg,minibus,0.9594,0.3156
yolo_onnx,street.jpg,bus,0.9115,0.0765
yolo_onnx,Epic.jpg,person,0.6270,0.0810
yolo_onnx,cat.jpg,cat,0.8799,0.0782
yolo_onnx,pizza.jpg,pizza,0.9178,0.0682
yolo_onnx,zidane.jpg,person,0.8248,0.0714
